Wavelength,Intensity
4.000000000000000000e+03,0.000000000000000000e+00
3.998534440644846200e+03,0.000000000000000000e+00
3.997068881289692399e+03,0.000000000000000000e+00
3.995603321934538144e+03,0.000000000000000000e+00
3.994137762579384344e+03,0.000000000000000000e+00
3.992672203224230543e+03,0.000000000000000000e+00
3.991206643869076743e+03,0.000000000000000000e+00
3.989741084513922942e+03,0.000000000000000000e+00
3.988275525158769142e+03,0.000000000000000000e+00
3.986809965803614887e+03,0.000000000000000000e+00
3.985344406448461086e+03,0.000000000000000000e+00
3.983878847093307286e+03,0.000000000000000000e+00
3.982413287738153485e+03,0.000000000000000000e+00
3.980947728382999685e+03,0.000000000000000000e+00
3.979482169027845430e+03,0.000000000000000000e+00
3.978016609672691629e+03,0.000000000000000000e+00
3.976551050317537829e+03,0.000000000000000000e+00
3.975085490962384029e+03,0.000000000000000000e+00
3.973619931607230228e+03,0.000000000000000000e+00
3.972154372252076428e+03,3.529458940029144287e-01
3.970688812896922173e+03,8.282674551010131836e-01
3.969223253541768372e+03,1.237936615943908691e+00
3.967757694186614572e+03,1.042556047439575195e+00
3.966292134831460771e+03,9.375126957893371582e-01
3.964826575476306971e+03,9.375126957893371582e-01
3.963361016121152716e+03,6.775825023651123047e+00
3.961895456765998915e+03,7.984875202178955078e+00
3.960429897410845115e+03,6.348824501037597656e+00
3.958964338055691314e+03,4.569912910461425781e+00
3.957498778700537514e+03,4.228521823883056641e+00
3.956033219345383259e+03,4.140810489654541016e+00
3.954567659990229458e+03,4.971178531646728516e+00
3.953102100635075658e+03,5.702280044555664062e+00
3.951636541279921857e+03,5.091979026794433594e+00
3.950170981924768057e+03,4.011082172393798828e+00
3.948705422569614257e+03,3.819378376007080078e+00
3.947239863214460001e+03,3.775259971618652344e+00
3.945774303859306201e+03,3.854567766189575195e+00
3.944308744504152401e+03,4.722226619720458984e+00
3.942843185148998600e+03,6.207014560699462891e+00
3.941377625793844800e+03,5.537888526916503906e+00
3.939912066438690999e+03,1.570399045944213867e+00
3.938446507083536744e+03,3.230085372924804688e-01
3.936980947728382944e+03,3.324624300003051758e-01
3.935515388373229143e+03,3.996901810169219971e-01
3.934049829018075343e+03,5.892935991287231445e-01
3.932584269662921542e+03,5.372970700263977051e-01
3.931118710307767287e+03,1.402329653501510620e-01
3.929653150952613487e+03,0.000000000000000000e+00
3.928187591597459686e+03,0.000000000000000000e+00
3.926722032242305886e+03,0.000000000000000000e+00
3.925256472887152086e+03,0.000000000000000000e+00
3.923790913531997830e+03,0.000000000000000000e+00
3.922325354176844030e+03,0.000000000000000000e+00
3.920859794821690230e+03,0.000000000000000000e+00
3.919394235466536429e+03,0.000000000000000000e+00
3.917928676111382629e+03,0.000000000000000000e+00
3.916463116756228828e+03,0.000000000000000000e+00
3.914997557401074573e+03,6.039997562766075134e-02
3.913531998045920773e+03,4.238502085208892822e-01
3.912066438690766972e+03,6.155544519424438477e-01
3.910600879335613172e+03,6.187057495117187500e-01
3.909135319980459371e+03,6.129283308982849121e-01
3.907669760625305116e+03,9.023228883743286133e-01
3.906204201270151316e+03,2.050973415374755859e+00
3.904738641914997515e+03,2.586694717407226562e+00
3.903273082559843715e+03,2.146037340164184570e+00
3.901807523204689915e+03,3.928624987602233887e-01
3.900341963849536114e+03,2.930711507797241211e-01
3.898876404494381859e+03,2.930711507797241211e-01
3.897410845139228059e+03,2.930711507797241211e-01
3.895945285784074258e+03,1.423338353633880615e-01
3.894479726428920458e+03,8.928682655096054077e-03
3.893014167073766657e+03,0.000000000000000000e+00
3.891548607718612402e+03,7.668168842792510986e-02
3.890083048363458602e+03,1.727964162826538086e+00
3.888617489008304801e+03,5.812577247619628906e+00
3.887151929653151001e+03,9.394560813903808594e+00
3.885686370297997200e+03,9.474918365478515625e+00
3.884220810942843400e+03,7.689702510833740234e+00
3.882755251587689145e+03,6.540001869201660156e+00
3.881289692232535344e+03,6.449664592742919922e+00
3.879824132877381544e+03,6.542628765106201172e+00
3.878358573522227744e+03,6.646095752716064453e+00
3.876893014167073943e+03,7.448631286621093750e+00
3.875427454811919688e+03,9.594662666320800781e+00
3.873961895456765888e+03,1.207264709472656250e+01
3.872496336101612087e+03,1.348652839660644531e+01
3.871030776746458287e+03,9.698136329650878906e+00
3.869565217391304486e+03,4.766345024108886719e+00
3.868099658036150686e+03,7.857246398925781250e-01
3.866634098680996431e+03,2.153389342129230499e-02
3.865168539325842630e+03,3.476937115192413330e-01
3.863702979970688830e+03,4.989037990570068359e+00
3.862237420615535029e+03,1.269082546234130859e+01
3.860771861260381229e+03,1.505062770843505859e+01
3.859306301905226974e+03,1.085624313354492188e+01
3.857840742550073173e+03,6.427079677581787109e+00
3.856375183194919373e+03,4.919707298278808594e+00
3.854909623839765572e+03,4.401844978332519531e+00
3.853444064484611772e+03,4.298376083374023438e+00
3.851978505129457517e+03,4.450164794921875000e+00
3.850512945774303716e+03,5.010045528411865234e+00
3.849047386419149916e+03,6.556284427642822266e+00
3.847581827063996116e+03,1.081212043762207031e+01
3.846116267708842315e+03,1.589360427856445312e+01
3.844650708353688515e+03,1.233157348632812500e+01
3.843185148998534260e+03,5.424968719482421875e+00
3.841719589643380459e+03,3.928624689579010010e-01
3.840254030288226659e+03,0.000000000000000000e+00
3.838788470933072858e+03,0.000000000000000000e+00
3.837322911577919058e+03,0.000000000000000000e+00
3.835857352222765257e+03,0.000000000000000000e+00
3.834391792867611002e+03,0.000000000000000000e+00
3.832926233512457202e+03,0.000000000000000000e+00
3.831460674157303401e+03,0.000000000000000000e+00
3.829995114802149601e+03,0.000000000000000000e+00
3.828529555446995801e+03,4.542031764984130859e+00
3.827063996091841545e+03,9.539458465576171875e+01
3.825598436736687745e+03,1.000000000000000000e+02
3.824132877381533945e+03,4.441283798217773438e+01
3.822667318026380144e+03,2.161793470382690430e+00
3.821201758671226344e+03,2.161793470382690430e+00
3.819736199316072089e+03,2.154440402984619141e+00
3.818270639960918288e+03,2.130280733108520508e+00
3.816805080605764488e+03,2.143410921096801758e+00
3.815339521250610687e+03,2.161793470382690430e+00
3.813873961895456887e+03,1.096128106117248535e+00
3.812408402540303086e+03,5.672345161437988281e-01
3.810942843185148831e+03,1.274701833724975586e+00
3.809477283829995031e+03,1.160204887390136719e+00
3.808011724474841230e+03,9.716518521308898926e-01
3.806546165119687430e+03,6.428657770156860352e-01
3.805080605764533630e+03,6.538952589035034180e-01
3.803615046409379374e+03,6.502186655998229980e-01
3.802149487054225574e+03,6.486430764198303223e-01
3.800683927699071774e+03,4.826745688915252686e-01
3.799218368343917973e+03,4.333041012287139893e-01
3.797752808988764173e+03,7.326779365539550781e-01
3.796287249633610372e+03,9.746279120445251465e-01
3.794821690278456117e+03,9.746279120445251465e-01
3.793356130923302317e+03,9.746279120445251465e-01
3.791890571568148516e+03,8.926940560340881348e-01
3.790425012212994716e+03,7.230488657951354980e-01
3.788959452857840915e+03,8.396470546722412109e-01
3.787493893502686660e+03,9.746279120445251465e-01
3.786028334147532860e+03,9.746279120445251465e-01
3.784562774792379059e+03,9.746279120445251465e-01
3.783097215437225259e+03,9.572959542274475098e-01
3.781631656082071459e+03,7.414312958717346191e-01
3.780166096726917658e+03,7.902767658233642578e-01
3.778700537371763403e+03,9.410139918327331543e-01
3.777234978016609602e+03,9.746279120445251465e-01
3.775769418661455802e+03,9.746279120445251465e-01
3.774303859306302002e+03,9.678001403808593750e-01
3.772838299951148201e+03,8.102348446846008301e-01
3.771372740595993946e+03,7.524609565734863281e-01
3.769907181240840146e+03,8.963703513145446777e-01
3.768441621885686345e+03,9.746279120445251465e-01
3.766976062530532545e+03,9.746279120445251465e-01
3.765510503175378744e+03,9.746279120445251465e-01
3.764044943820224944e+03,8.879669904708862305e-01
3.762579384465070689e+03,7.188472151756286621e-01
3.761113825109916888e+03,8.448991179466247559e-01
3.759648265754763088e+03,9.746279120445251465e-01
3.758182706399609287e+03,9.746279120445251465e-01
3.756717147044455487e+03,9.746279120445251465e-01
3.755251587689301232e+03,9.415392279624938965e-01
3.753786028334147431e+03,7.514105439186096191e-01
3.752320468978993631e+03,7.955288290977478027e-01
3.750854909623839831e+03,1.027674674987792969e+00
3.749389350268686030e+03,1.373792886734008789e+00
3.747923790913531775e+03,1.597535490989685059e+00
3.746458231558377975e+03,1.716234683990478516e+00
3.744992672203224174e+03,1.573375344276428223e+00
3.743527112848070374e+03,1.488815546035766602e+00
3.742061553492916573e+03,1.641128063201904297e+00
3.740595994137762773e+03,1.718860507011413574e+00
3.739130434782608518e+03,1.711507439613342285e+00
3.737664875427454717e+03,1.752999305725097656e+00
3.736199316072300917e+03,2.572338819503784180e+00
3.734733756717147116e+03,3.296612977981567383e+00
3.733268197361993316e+03,3.270351648330688477e+00
3.731802638006839516e+03,1.761403441429138184e+00
3.730337078651685260e+03,1.255618929862976074e+00
3.728871519296531460e+03,1.243013858795166016e+00
3.727405959941377660e+03,1.011918306350708008e+00
3.725940400586223859e+03,7.577132582664489746e-01
3.724474841231070059e+03,9.903844594955444336e-01
3.723009281875915804e+03,1.836159229278564453e+00
3.721543722520762003e+03,2.467645406723022461e+00
3.720078163165608203e+03,2.616631746292114258e+00
3.718612603810454402e+03,1.646555900573730469e+00
3.717147044455300602e+03,1.182263612747192383e+00
3.715681485100146347e+03,9.853072166442871094e-01
3.714215925744992546e+03,1.111359357833862305e+00
3.712750366389838746e+03,1.171759366989135742e+00
3.711284807034684945e+03,1.203797459602355957e+00
3.709819247679531145e+03,1.302012920379638672e+00
3.708353688324376890e+03,1.528906941413879395e+00
3.706888128969223089e+03,2.080910444259643555e+00
3.705422569614069289e+03,2.406020164489746094e+00
3.703957010258915489e+03,1.957484126091003418e+00
3.702491450903761688e+03,9.105510711669921875e-01
3.701025891548607888e+03,1.751416444778442383e+00
3.699560332193454087e+03,9.493799209594726562e+00
3.698094772838299832e+03,1.198853397369384766e+01
3.696629213483146032e+03,3.305874586105346680e+00
3.695163654127992231e+03,3.412335395812988281e+00
3.693698094772838431e+03,4.453488826751708984e+00
3.692232535417684630e+03,4.819390773773193359e+00
3.690766976062530375e+03,4.049947261810302734e+00
3.689301416707376575e+03,2.621884107589721680e+00
3.687835857352222774e+03,1.697851538658142090e+00
3.686370297997068974e+03,1.809898018836975098e+00
3.684904738641915174e+03,2.146212100982666016e+00
3.683439179286760918e+03,3.202772855758666992e+00
3.681973619931607118e+03,3.247592210769653320e+00
3.680508060576453317e+03,3.258796691894531250e+00
3.679042501221299517e+03,3.655335426330566406e+00
3.677576941866145717e+03,3.447874546051025391e+00
3.676111382510991461e+03,2.326186180114746094e+00
3.674645823155837661e+03,1.691024065017700195e+00
3.673180263800683861e+03,1.525230407714843750e+00
3.671714704445530060e+03,1.767705559730529785e+00
3.670249145090376260e+03,2.629585742950439453e+00
3.668783585735222459e+03,3.011595010757446289e+00
3.667318026380068204e+03,2.993738174438476562e+00
3.665852467024914404e+03,2.524019002914428711e+00
3.664386907669760603e+03,1.896383643150329590e+00
3.662921348314606803e+03,2.022261142730712891e+00
3.661455788959453002e+03,2.689461946487426758e+00
3.659990229604299202e+03,3.017897129058837891e+00
3.658524670249144947e+03,2.104895353317260742e+00
3.657059110893991146e+03,1.945929288864135742e+00
3.655593551538837346e+03,2.097891807556152344e+00
3.654127992183683546e+03,2.615231037139892578e+00
3.652662432828529745e+03,2.970803022384643555e+00
3.651196873473375490e+03,2.426153182983398438e+00
3.649731314118221690e+03,1.942427992820739746e+00
3.648265754763067889e+03,1.851039528846740723e+00
3.646800195407914089e+03,2.025937080383300781e+00
3.645334636052760288e+03,1.738643407821655273e+00
3.643869076697606033e+03,1.557968974113464355e+00
3.642403517342452233e+03,1.373617887496948242e+00
3.640937957987298432e+03,1.370466470718383789e+00
3.639472398632144632e+03,1.549040317535400391e+00
3.638006839276990831e+03,1.570574045181274414e+00
3.636541279921837031e+03,1.630448698997497559e+00
3.635075720566682776e+03,1.716584324836730957e+00
3.633610161211528975e+03,1.473408699035644531e+00
3.632144601856375175e+03,9.009222984313964844e-01
3.630679042501221375e+03,9.413641691207885742e-01
3.629213483146067574e+03,9.749779701232910156e-01
3.627747923790913774e+03,1.261221170425415039e+00
3.626282364435759519e+03,2.229720830917358398e+00
3.624816805080605718e+03,2.163543701171875000e+00
3.623351245725451918e+03,1.197144865989685059e+00
3.621885686370298117e+03,1.040104746818542480e+00
3.620420127015144317e+03,1.157228231430053711e+00
3.618954567659990062e+03,1.164581418037414551e+00
3.617489008304836261e+03,1.177186608314514160e+00
3.616023448949682461e+03,1.157228231430053711e+00
3.614557889594528660e+03,1.474459171295166016e+00
3.613092330239374860e+03,2.045369625091552734e+00
3.611626770884220605e+03,2.076357841491699219e+00
3.610161211529066804e+03,9.749779701232910156e-01
3.608695652173913004e+03,9.749779701232910156e-01
3.607230092818759204e+03,9.860076308250427246e-01
3.605764533463605403e+03,1.216052412986755371e+00
3.604298974108451148e+03,1.494943022727966309e+00
3.602833414753297347e+03,1.722361922264099121e+00
3.601367855398143547e+03,1.601036667823791504e+00
3.599902296042989747e+03,1.575301051139831543e+00
3.598436736687835946e+03,1.572149753570556641e+00
3.596971177332682146e+03,1.477610707283020020e+00
3.595505617977528345e+03,1.461328744888305664e+00
3.594040058622374090e+03,1.689798116683959961e+00
3.592574499267220290e+03,1.539586305618286133e+00
3.591108939912066489e+03,1.063739657402038574e+00
3.589643380556912689e+03,9.749779701232910156e-01
3.588177821201758888e+03,9.240320324897766113e-01
3.586712261846604633e+03,1.453450679779052734e+00
3.585246702491450833e+03,2.458715915679931641e+00
3.583781143136297032e+03,2.496006727218627930e+00
3.582315583781143232e+03,9.749779701232910156e-01
3.580850024425989432e+03,9.749779701232910156e-01
3.579384465070835176e+03,1.049033522605895996e+00
3.577918905715681376e+03,9.676249027252197266e-01
3.576453346360527576e+03,1.903562068939208984e+00
3.574987787005373775e+03,2.644117593765258789e+00
3.573522227650219975e+03,2.184027194976806641e+00
3.572056668295065720e+03,1.372567296028137207e+00
3.570591108939911919e+03,1.357861042022705078e+00
3.569125549584758119e+03,1.249141216278076172e+00
3.567659990229604318e+03,1.071617841720581055e+00
3.566194430874450518e+03,8.378961682319641113e-01
3.564728871519296717e+03,1.080546617507934570e+00
3.563263312164142462e+03,1.436118602752685547e+00
3.561797752808988662e+03,1.745471358299255371e+00
3.560332193453834861e+03,1.772257566452026367e+00
3.558866634098681061e+03,1.663012027740478516e+00
3.557401074743527261e+03,1.765429496765136719e+00
3.555935515388373460e+03,1.681920170783996582e+00
3.554469956033219205e+03,1.598410367965698242e+00
3.553004396678065405e+03,1.604187965393066406e+00
3.551538837322911604e+03,1.608389735221862793e+00
3.550073277967757804e+03,1.402504444122314453e+00
3.548607718612604003e+03,1.105757117271423340e+00
3.547142159257449748e+03,1.036428451538085938e+00
3.545676599902295948e+03,9.770787954330444336e-01
3.544211040547142147e+03,9.749779701232910156e-01
3.542745481191988347e+03,9.749779701232910156e-01
3.541279921836834546e+03,8.709850311279296875e-01
3.539814362481680291e+03,7.191973328590393066e-01
3.538348803126526491e+03,8.284424543380737305e-01
3.536883243771372690e+03,9.755032062530517578e-01
3.535417684416218890e+03,9.797048568725585938e-01
3.533952125061065090e+03,9.991379976272583008e-01
