Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
11.42,203.6,-7.69,0.35,-0.93,172.7,3.82,10.45,1
4.27,169.7,-8.57,-0.98,-1.9,186.0,8.29,8.18,1
19.32,127.3,-10.12,0.04,-0.9,180.2,0.52,4.84,1
2.71,163.0,-5.79,-0.32,1.76,449.7,8.93,11.21,3
4.47,130.8,-10.33,-1.46,-1.92,234.5,7.06,1.32,1
19.92,220.6,-10.16,-2.58,-1.51,448.1,0.39,4.16,3
15.79,181.3,-10.1,-2.39,-1.31,436.8,1.87,11.88,4
16.98,161.3,-10.76,-0.13,0.83,372.9,1.12,5.07,3
9.96,121.2,-5.85,-2.63,1.91,268.5,5.42,4.57,2
8.19,177.2,-5.65,-0.73,0.35,305.5,6.61,7.49,2
6.16,185.0,-10.26,1.5,-1.65,308.7,6.59,12.72,2
2.02,198.0,-8.23,-0.09,-0.17,363.3,8.83,13.47,3
1.9,205.8,-8.64,1.88,1.13,279.5,9.19,1.11,2
7.23,106.3,-10.24,-1.56,-1.28,470.4,5.91,13.28,4
5.25,156.7,-5.81,0.25,-0.82,315.1,6.24,13.45,2
13.67,155.8,-5.82,1.67,0.67,174.7,2.95,4.89,1
4.22,125.6,-6.56,-1.25,-0.73,302.0,7.88,0.25,2
18.27,148.3,-10.0,-0.33,0.92,523.6,0.4,4.94,4
19.39,106.6,-9.42,1.24,1.18,302.1,0.6,10.79,2
10.02,169.3,-9.85,-1.34,1.32,455.3,4.8,1.72,4
1.97,177.1,-6.01,-2.96,0.21,372.3,8.65,3.43,3
4.24,173.4,-8.19,1.95,-0.48,470.5,8.74,1.67,4
6.08,121.3,-10.1,-0.97,0.47,543.9,7.02,0.48,4
17.64,115.9,-10.94,-2.45,-1.25,265.9,1.58,11.73,2
17.88,213.9,-9.33,0.68,-1.18,337.1,1.23,8.36,2
19.36,212.3,-5.16,-1.37,1.27,436.5,0.91,12.27,3
5.99,144.5,-10.81,-2.16,1.27,312.2,7.03,1.73,2
4.34,202.0,-5.53,-2.41,-0.37,431.1,7.8,9.52,4
10.97,241.2,-10.65,0.49,-0.13,364.3,4.84,8.05,3
7.54,225.9,-6.97,1.97,-0.28,397.1,7.01,11.73,3
8.56,144.3,-8.9,-1.04,-0.19,139.3,5.62,6.73,1
9.6,120.0,-8.27,0.82,-1.09,124.9,5.58,4.02,1
2.16,107.7,-9.67,0.27,-1.13,472.9,8.45,7.11,4
7.17,175.6,-8.97,-0.9,1.33,390.4,6.86,6.68,3
15.12,168.6,-9.15,-2.76,0.67,197.5,1.72,9.61,1
10.09,212.7,-6.75,-0.95,1.9,492.1,5.98,13.22,4
15.54,215.3,-5.77,-2.85,-1.36,344.4,2.61,5.13,3
13.77,110.5,-8.54,1.76,1.69,252.9,2.69,7.99,2
18.88,245.7,-6.1,-0.95,1.06,158.1,0.41,4.97,1
14.12,138.7,-10.93,-0.1,0.11,331.5,3.03,7.81,3
11.63,156.1,-6.27,1.7,0.61,131.8,4.37,12.78,1
3.99,186.4,-7.84,-0.12,1.35,269.3,7.91,4.61,2
18.5,105.7,-6.0,-2.14,0.11,420.1,1.95,13.05,4
19.94,206.9,-9.66,1.76,0.59,417.4,0.1,10.76,4
17.01,128.8,-8.74,-2.06,1.91,376.3,1.76,10.17,3
2.78,237.5,-6.81,-2.36,0.88,208.1,8.81,11.28,2
3.12,137.0,-5.91,-1.19,-1.69,461.0,8.48,7.62,4
7.93,162.0,-8.13,-0.83,0.87,412.6,5.56,2.88,3
14.22,133.6,-5.92,1.89,1.9,346.2,3.22,13.86,2
16.71,196.9,-7.71,-0.23,-0.44,475.5,1.15,3.97,4
4.44,156.6,-5.05,1.03,-1.83,439.3,8.44,3.97,4
12.88,135.9,-5.57,0.84,0.91,194.6,4.24,7.39,1
4.03,226.6,-8.69,-0.99,-0.76,222.6,8.89,5.76,2
3.13,205.4,-5.27,-2.63,1.67,539.6,7.83,1.22,4
9.95,170.7,-6.41,-2.4,-1.27,513.5,5.06,6.42,4
17.36,142.9,-7.85,1.96,-0.49,423.4,1.31,4.75,4
12.93,230.8,-5.05,1.3,-1.91,115.6,4.19,12.81,1
13.95,162.9,-6.83,-1.27,-0.25,539.0,2.98,12.52,4
8.47,169.8,-9.83,1.16,-1.24,243.5,5.82,8.48,1
6.07,128.8,-10.32,1.5,0.39,338.5,7.07,9.98,3
18.71,225.1,-9.43,1.62,0.98,126.6,1.24,8.23,1
8.82,182.5,-6.59,1.38,-0.88,203.8,6.1,3.23,1
10.75,198.5,-7.7,-2.07,-1.47,349.1,4.43,10.59,2
2.37,162.8,-8.62,0.97,-1.52,239.4,8.5,3.8,2
2.31,102.9,-6.45,-2.72,-0.98,154.8,7.69,5.12,1
15.4,145.1,-10.86,1.03,1.31,454.6,1.66,11.8,4
18.71,103.1,-6.12,-0.12,-0.27,270.3,0.4,5.11,2
13.1,104.5,-6.51,0.67,-1.23,440.1,2.99,0.67,4
18.1,247.8,-9.92,-0.25,-0.87,484.3,0.86,0.33,4
15.71,114.2,-8.67,-0.01,-0.6,324.9,2.19,10.24,2
3.45,167.6,-10.77,-2.81,-1.18,360.7,7.57,0.63,3
2.27,225.8,-10.93,-2.84,0.16,142.7,9.56,13.94,1
18.9,163.2,-5.02,1.06,0.28,540.2,0.47,13.9,4
4.07,137.3,-8.07,-1.54,1.12,382.9,8.13,5.87,3
12.95,162.1,-8.77,1.04,0.78,235.7,3.63,3.47,2
5.48,223.6,-9.82,0.52,-1.02,352.7,7.18,11.31,3
10.8,106.7,-6.16,-0.18,-1.37,375.6,4.32,10.22,3
10.26,173.3,-6.77,-2.48,1.62,414.3,3.95,13.16,4
14.66,129.0,-10.99,-2.67,1.3,106.0,2.07,3.04,1
16.59,109.0,-6.37,-1.08,-1.97,506.9,1.59,13.27,4
19.98,217.8,-10.33,1.63,-1.91,511.6,0.1,8.38,4
4.96,102.2,-5.31,-1.87,-0.04,171.1,7.53,7.74,1
9.3,162.2,-9.0,-0.89,1.35,429.8,5.31,8.74,3
8.14,181.8,-8.29,0.21,1.7,488.7,6.15,3.79,4
1.64,125.9,-10.97,-0.52,-1.22,513.8,8.93,5.19,4
5.5,234.9,-6.05,-2.87,1.24,440.5,7.69,12.38,3
11.38,161.3,-9.15,0.48,-0.34,518.8,4.69,9.22,4
17.66,127.3,-7.66,1.59,0.61,147.3,0.39,12.1,1
6.96,191.7,-5.44,-0.0,-0.74,318.7,6.17,4.02,3
14.33,195.9,-10.06,-0.1,-1.5,406.9,3.4,1.03,4
18.86,158.3,-5.8,1.18,0.83,459.2,0.32,1.89,4
4.41,104.7,-8.0,1.16,-0.77,102.1,7.94,3.62,1
3.06,199.2,-5.45,-2.07,-1.88,510.9,8.56,6.92,4
19.74,135.7,-6.07,-0.89,1.87,168.3,0.1,2.68,1
1.95,122.5,-8.34,1.1,-0.28,210.1,8.49,9.5,1
6.34,223.1,-10.47,0.67,-1.6,475.2,6.29,10.89,4
